"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"183",65,66,54,33,43,24,48,30,35,36,31,25,42,28,22,39,25,44,30,29,32,21,25,19,18,36,17,39,26,17
"184",56,56,62,28,40,27,48,30,32,36,27,33,23,28,24,37,33,52,30,24,38,18,37,23,11,40,35,27,12,10
"185",43,59,42,36,42,38,41,30,31,43,20,36,31,20,26,23,16,37,30,21,26,18,16,23,34,29,17,19,28,12
"186",55,45,51,30,40,36,42,27,39,46,29,27,21,28,21,32,21,29,24,25,27,16,21,30,24,42,15,37,6,13
"187",74,68,51,47,49,36,66,47,64,66,34,38,36,31,25,37,48,46,29,25,32,24,14,26,27,43,30,24,19,19
"188",56,89,60,41,61,46,72,55,64,59,65,42,43,47,33,42,28,62,37,34,38,42,24,42,33,48,22,40,34,24
"189",76,97,56,44,56,82,80,53,48,71,55,31,51,62,54,54,47,63,47,33,37,25,23,42,38,57,38,42,33,17
"190",82,86,103,55,55,65,79,63,36,66,76,65,49,63,41,50,55,65,33,39,57,37,33,40,30,52,30,30,37,34
"191",58,66,87,57,39,63,54,37,33,50,35,38,31,47,24,48,27,46,41,28,38,37,43,20,33,42,25,37,25,26
"192",51,23,38,19,21,27,28,19,18,34,25,13,19,13,8,19,11,16,17,15,18,17,23,23,21,33,12,19,5,13
"193",22,12,18,8,7,16,9,5,7,8,17,4,9,6,5,11,4,5,8,3,15,5,2,3,6,13,4,5,4,0
"194",7,4,17,5,3,7,6,6,4,2,2,6,5,4,12,9,2,0,5,4,1,2,1,1,4,2,3,7,3,2
"195",3,5,4,0,3,5,1,2,8,1,5,2,1,4,6,3,2,1,3,0,4,2,1,2,3,3,3,4,0,0
"196",2,0,8,1,0,1,5,2,4,2,4,4,1,4,3,6,1,4,4,3,3,6,1,2,0,1,1,5,0,0
"197",6,4,4,0,5,2,2,4,3,7,3,1,2,6,3,0,0,1,2,2,1,1,2,1,6,0,1,2,1,0
"198",11,22,10,7,7,8,16,5,9,6,12,3,2,1,0,4,2,8,1,2,5,7,1,7,3,2,7,4,3,2
"199",18,26,20,6,20,19,23,13,16,21,15,16,12,13,10,12,15,15,8,4,11,9,9,13,16,10,7,10,5,5
"200",42,45,23,14,21,43,40,17,24,24,16,19,16,30,10,26,17,36,11,19,10,17,13,21,20,30,13,24,6,9
"201",41,41,44,16,21,36,23,19,29,27,26,26,22,45,12,22,17,21,12,21,19,11,20,14,15,34,16,20,15,11
"202",34,43,40,24,31,51,39,28,31,18,28,36,25,72,18,17,13,39,12,18,35,8,21,13,21,42,15,20,12,12
"203",38,46,45,19,29,36,34,23,31,26,23,25,30,66,29,14,14,35,5,17,31,24,20,7,20,41,21,19,21,18
"204",53,53,43,25,41,30,33,25,29,29,20,23,32,49,17,23,14,40,12,19,21,19,27,28,19,42,14,27,12,13
"205",44,44,40,26,39,41,35,22,34,33,24,30,44,59,15,26,25,43,10,21,26,17,18,27,23,32,22,29,12,10
"206",51,42,42,26,56,35,37,27,32,35,20,20,40,35,18,33,32,29,7,24,19,4,18,20,17,24,25,44,12,14
